station,pws_id,date,tmax_pws,unit
LTAC,IANKARA40,2026-01-27,9.4,C
LTAC,IANKAR54,2026-07-08,30.0,C
LTAC,IANKAR54,2026-07-02,35.8,C
LTAC,IANKAR54,2026-06-26,32.4,C
LTAC,IANKAR54,2026-06-20,26.6,C
LTAC,IANKAR54,2026-06-14,24.7,C
LTAC,IANKAR54,2026-06-08,31.1,C
LTAC,IANKAR54,2026-06-02,28.1,C
LTAC,IANKAR54,2026-05-27,27.4,C
LTAC,IANKAR54,2026-05-21,21.9,C
LTAC,IANKAR54,2026-05-15,18.9,C
LTAC,IANKAR54,2026-05-09,23.1,C
LTAC,IANKAR54,2026-05-03,11.7,C
LTAC,IANKAR54,2026-04-27,23.1,C
LTAC,IANKAR54,2026-04-21,20.3,C
LTAC,IANKAR54,2026-04-15,22.8,C
LTAC,IANKAR54,2026-04-09,11.5,C
LTAC,IANKAR54,2026-04-03,14.8,C
LTAC,IANKAR54,2026-03-28,17.8,C
LTAC,IANKAR54,2026-03-22,13.0,C
LTAC,IANKAR54,2026-03-16,15.3,C
LTAC,IANKAR54,2026-03-10,12.6,C
LTAC,IANKAR54,2026-03-04,12.1,C
LTAC,IANKAR59,2026-07-08,33.5,C
LTAC,IANKAR59,2026-07-02,34.2,C
LTAC,IANKAR59,2026-06-26,36.5,C
LTAC,IANKAR59,2026-06-20,31.2,C
LTAC,IANKAR59,2026-06-14,29.1,C
LTAC,IANKAR59,2026-06-08,34.9,C
LTAC,IANKAR59,2026-06-02,32.2,C
LTAC,IANKAR59,2026-05-27,31.4,C
LTAC,IANKAR59,2026-05-21,25.8,C
LTAC,IANKAR59,2026-05-15,26.2,C
LTAC,IANKAR59,2026-05-09,28.4,C
LTAC,IANKAR59,2026-05-03,11.6,C
LTAC,IANKAR59,2026-04-27,28.0,C
LTAC,IANKAR59,2026-04-21,25.0,C
LTAC,IANKAR59,2026-04-15,26.0,C
LTAC,IANKAR59,2026-04-09,18.7,C
LTAC,IANKAR59,2026-04-03,13.4,C
LTAC,IANKAR59,2026-03-28,12.6,C
LTAC,IANKAR59,2026-03-22,17.4,C
LTAC,IANKAR59,2026-03-16,16.7,C
LTAC,IANKAR59,2026-03-10,19.8,C
LTAC,IANKAR59,2026-03-04,19.0,C
LTAC,IANKAR59,2026-02-26,12.2,C
LTAC,IANKAR59,2026-02-20,16.6,C
LTAC,IANKAR59,2026-02-14,18.8,C
LTAC,IANKAR59,2026-02-08,17.3,C
LTAC,IANKAR59,2026-02-02,13.7,C
LTAC,IANKAR59,2026-01-27,13.3,C
LTAC,IANKAR59,2026-01-21,9.5,C
LTAC,IANKAR28,2026-07-02,33.8,C
LTAC,IANKAR28,2026-06-26,29.0,C
LTAC,IANKAR28,2026-06-20,23.3,C
LTAC,IANKAR28,2026-06-14,21.8,C
LTAC,IANKAR28,2026-06-08,27.7,C
LTAC,IANKAR28,2026-06-02,26.3,C
LTAC,IANKAR28,2026-05-27,25.4,C
LTAC,IANKAR28,2026-05-21,19.9,C
